gene,mean_effect,median_effect,n_samples_positive,n_samples_negative
DDX19B,-0.0064086863,0.034799747,4,2
NAT10,0.05995169,0.03479594,4,1
AC245407.2,0.058227267,0.03477652,4,0
EVI5,0.050484296,0.03477025,4,1
PRKAR2A,0.07561315,0.034759596,4,2
ABCD1,0.00035003075,0.034750216,4,2
RNASE6,0.018068844,0.03472638,4,2
CHD1,0.09985876,0.03471361,4,1
CASP8AP2,0.09221556,0.03469481,4,2
TMEM160,0.15203694,0.03458467,4,2
OXSR1,0.1843872,0.034581803,4,1
CXADR,0.09375737,0.034552798,4,1
CIDEB,0.036008094,0.03442622,4,1
MTF1,0.039862934,0.034369297,4,1
TRAFD1,0.09071594,0.034369193,4,2
GCN1,0.017149465,0.034316696,4,2
TRIP4,0.05440968,0.034181684,4,1
IGKC,0.026931023,0.034091096,4,1
PIK3R6,0.032017943,0.0340895,4,2
UBE2J2,0.04083656,0.034075253,4,1
JOSD2,-0.010392611,0.03406802,4,2
SEC23IP,0.03186027,0.03387504,4,2
DIS3L,0.10739127,0.033869486,4,0
HMGXB3,0.056685522,0.03377514,4,2
PLBD1,0.06259077,0.03371179,4,2
TFG,0.07763037,0.03368093,4,2
PISD,-0.060447738,0.03367272,4,2
MED19,0.06808631,0.033665247,4,1
HBEGF,0.0078878505,0.033649743,4,1
MOSPD2,0.035620805,0.033607252,4,2
PGAP2,0.029478928,0.03346864,4,0
PTPRO,0.106837414,0.033462107,4,2
ZNF611,0.016665379,0.033384554,4,2
RNASEH1,0.001294295,0.033341464,4,2
NSMCE1,0.06254242,0.033340015,4,2
CASC3,0.010026139,0.03330707,4,2
RNGTT,0.048177954,0.03330509,4,2
PLEKHM2,0.023586938,0.03327567,4,2
NCOA3,0.081157535,0.033174127,4,1
CHSY1,0.20576973,0.033160117,4,1
RRP36,0.061880525,0.033115115,4,1
IRAK2,0.06076282,0.032950938,4,1
ZBTB37,-0.015660616,0.032945864,4,2
FBXO38,0.052788798,0.032923896,4,1
ABLIM3,0.06639949,0.032919846,4,0
TMEM87B,0.07383702,0.032855853,4,0
FLI1,0.030567465,0.032796063,4,2
STOML2,0.07833457,0.03274931,4,2
UHRF1BP1L,0.03520323,0.03254115,4,2
IMPDH2,0.07909163,0.032531865,4,2
PGM2L1,0.1222207,0.03252329,4,1
AC090204.1,0.057535466,0.032449584,4,0
C20orf96,0.06242318,0.032362025,4,1
PSME3,-0.00076269853,0.03229259,4,2
TSPAN32,0.07205901,0.0322828,4,0
HLTF,0.056610316,0.032256715,4,0
STXBP2,-0.044795156,0.032240257,4,2
PLEKHG2,0.0710685,0.032156676,4,1
JMJD6,0.03409462,0.032145455,4,2
ZNF467,0.04913965,0.032115437,4,1
CCM2,0.028322453,0.032061666,4,1
SLC43A2,0.03233717,0.032058135,4,2
GBP3,0.043162275,0.031985126,4,0
GEMIN5,0.046778757,0.03193526,4,1
MAP2K3,0.14752989,0.031888977,4,1
VTI1B,0.10468461,0.031858906,4,2
B3GNT5,0.062232275,0.03185124,4,2
RABL3,0.051378194,0.03185095,4,1
SCAF1,0.04959193,0.0317903,4,2
KMT2E-AS1,0.005734963,0.031717483,4,2
MAN1B1,0.033457283,0.031706385,4,2
CD86,0.1552415,0.03169612,4,2
TMEM106B,0.066373564,0.031688027,4,0
MRPS18C,0.04762366,0.031667247,4,2
GLYCTK,0.06916088,0.031662956,4,0
KCNK6,0.052260894,0.0316556,4,2
TARBP1,0.06032308,0.031648077,4,0
PPP1R16A,0.07147222,0.03154519,4,1
CHPT1,0.12772994,0.03153082,4,2
TMEM126A,0.07834975,0.031494774,4,2
AATK,0.102965176,0.031394303,4,0
AC147651.4,0.052128475,0.031352,4,0
CCDC9,0.043578684,0.03128819,4,1
LPAR2,0.037469182,0.031271935,4,0
ARMT1,0.069977134,0.031270035,4,1
ZDHHC4,0.07348624,0.03125204,4,2
PAK1,0.050226655,0.031242982,4,2
CMTR1,0.07855325,0.03123347,4,1
ARID1A,-0.033081573,0.031223036,4,2
NDEL1,0.068207316,0.031216793,4,0
MTMR2,-0.010711297,0.03113218,4,1
SLC49A3,0.068254106,0.031126805,4,1
MLKL,0.09465819,0.030901123,4,0
HADHA,-0.015770912,0.030891776,4,2
GMDS,0.080047585,0.030819546,4,1
CORO7,0.03547551,0.030774146,4,2
XRN1,-0.063233845,0.030559659,4,2
SUN1,0.04670587,0.030555675,4,2
EXTL3,0.05219734,0.03054619,4,2
TMED8,0.043715764,0.030482177,4,0
TRAPPC12,0.005448257,0.03035649,4,2
DEDD,0.11828604,0.030315105,4,2
TM9SF4,0.010187929,0.030313104,4,2
CARS,0.026862422,0.030168109,4,1
CCAR1,0.013182994,0.030076489,4,2
AC009120.2,0.085796244,0.030070066,4,1
USF2,0.0020008285,0.030048847,4,2
MARCH2,0.069137044,0.0299825,4,2
NFAM1,0.015882203,0.029905036,4,2
R3HCC1,-0.022855476,0.029865608,4,2
ADI1,0.09031558,0.029822946,4,2
TENT4A,0.08183723,0.029815728,4,0
IRF3,0.09011879,0.029786535,4,1
Z97192.3,0.09623844,0.029731203,4,0
MAST2,0.107397355,0.029686937,4,1
KIF13A,0.022454666,0.029615393,4,1
WDTC1,0.04181535,0.029540623,4,2
ERAP1,0.035576824,0.02952462,4,1
SPNS1,-0.041471392,0.029502355,4,2
SIRPB2,0.08018876,0.029492442,4,2
ARID3B,0.09976387,0.029466055,4,1
NCOR1,0.024988135,0.029463544,4,1
ADAM10,0.04735443,0.029434398,4,2
FMN1,0.10501003,0.02943134,4,2
NOL8,0.044317394,0.029306062,4,2
IL21R,0.0979487,0.029304884,4,0
ATAD3B,0.093676634,0.029303538,4,1
TATDN2,0.083022885,0.029294506,4,1
SRRM1,-0.13697593,0.029197961,4,2
ISYNA1,0.0840202,0.029190931,4,1
DHX37,0.014940166,0.02915718,4,2
HLA-DMB,0.26733446,0.029099315,4,2
SIPA1L3,0.07706651,0.029072197,4,0
HAGH,0.024475368,0.02903048,4,2
SRFBP1,0.07828054,0.029010333,4,1
MGAT5,0.04095911,0.0289976,4,0
HNRNPLL,0.09239298,0.028992623,4,1
PLAGL1,0.04494375,0.028929211,4,2
GIPC1,0.032514397,0.028923884,4,2
APMAP,0.047840774,0.028792113,4,2
IPO7,0.039461028,0.028788693,4,2
CEP135,0.09481484,0.028777432,4,2
CSE1L,0.07936251,0.028768988,4,2
SMG8,0.060814407,0.028718945,4,1
RUFY4,0.07607243,0.028666984,4,1
NUP43,0.05105455,0.028578576,4,0
LAMB2,0.058984127,0.028472152,4,0
NBL1,0.16051711,0.028411992,4,1
F8A1,0.05624875,0.028368358,4,1
FBH1,0.13153957,0.028232776,4,0
ANTXR2,0.079646826,0.028227344,4,0
ZZEF1,0.018527353,0.028199583,4,2
PIGQ,0.006646067,0.028188117,4,2
NDUFV3,-0.00060907006,0.028181463,4,1
MSH6,0.015463707,0.028148936,4,2
UBE2G1,0.0723761,0.028134763,4,1
GTPBP6,0.04905677,0.028121192,4,1
EIF2D,-0.012225233,0.028114567,4,1
BOD1,0.094640404,0.02802986,4,1
C18orf32,-0.020156587,0.028018832,4,2
H2AFX,0.054234535,0.027966136,4,2
TRIM41,0.027007097,0.027935486,4,1
CSF2RA,0.030923776,0.027935386,4,2
MRPL47,0.0013375506,0.02789396,4,2
DCAF7,-0.035611752,0.027875043,4,2
IMPAD1,0.118975736,0.027841516,4,1
G0S2,0.09689184,0.027688444,4,2
PAN3,-0.088925324,0.02763571,4,1
PI4K2A,0.21764858,0.027596124,4,2
MAPK1IP1L,0.058679864,0.027590286,4,2
ZNF236,0.06841656,0.027574157,4,0
RAB18,-0.051160768,0.02757281,4,2
DHDDS,0.05846134,0.027548647,4,2
RNF40,0.07116828,0.027469449,4,0
DBNL,0.031965006,0.027401939,4,2
SLC39A7,0.05419929,0.027333006,4,1
VSIR,0.12202314,0.027286917,4,2
USP34,0.015879503,0.027234487,4,2
GSK3B,0.045057625,0.027207285,4,2
SESN3,-0.021890134,0.027140887,4,2
RAPGEF1,-0.059691105,0.02708748,4,2
BAG6,0.09808239,0.02700609,4,2
TSNAX,0.03958828,0.026994713,4,0
P2RY6,0.043758664,0.02683989,4,2
MVB12A,-0.018091073,0.026813187,4,2
PRMT2,0.20226447,0.026735753,4,1
RND3,-0.0115318345,0.026712846,4,1
TMBIM1,0.0715161,0.026700385,4,2
KCTD17,0.06435899,0.026578622,4,1
USP14,0.03887897,0.026536956,4,1
PITPNB,0.0576895,0.026531547,4,2
PIP5K1C,-0.018709114,0.026491709,4,1
NICN1,0.052365106,0.02647639,4,0
PREB,-0.0059407814,0.0264596,4,1
SEC23A,0.109294295,0.026433066,4,2
PPP1R14B,0.03978184,0.026386097,4,2
GTF2H3,0.04168288,0.026287656,4,2
NYNRIN,0.06399407,0.02623446,4,0
TOR4A,0.032367546,0.026211388,4,1
JKAMP,0.018572584,0.02621086,4,2
SLC12A9,-0.021380702,0.026175983,4,2
ITGB3,0.024426127,0.026138905,4,1
IARS2,0.07102724,0.025936633,4,2
RFNG,-0.049534213,0.02591591,4,2
TMPO,0.032699097,0.025790788,4,2
RPS10-NUDT3,-0.016952211,0.025772486,4,2
FNTA,-9.1825925e-05,0.025735766,4,2
PCGF6,0.10197779,0.025685422,4,0
WDR12,0.01209304,0.025640406,4,2
PCLAF,0.08532691,0.025603754,4,1
HECTD1,0.041692626,0.025512777,4,2
EMILIN1,0.06225629,0.02547161,4,0
LFNG,-0.0021161735,0.025441185,4,2
SET,0.028664848,0.025421187,4,2
MCM7,0.12796268,0.025410738,4,2
OPA1,0.074697435,0.025397934,4,1
ITGA9,0.07105584,0.025368268,4,0
CRYZ,0.08579027,0.02535462,4,1
DGKA,-0.0008779441,0.025327422,4,2
PARP2,0.039994407,0.025317203,4,1
PRKD3,0.0695555,0.02527297,4,1
RP2,0.041410267,0.025260478,4,0
HDAC2,0.059122268,0.025259688,4,2
EDEM3,0.020151127,0.025238257,4,1
MKRN2,0.11614612,0.02522136,4,1
VPS26B,0.11566471,0.02515626,4,2
PIGO,0.10387226,0.02514729,4,0
CDC34,0.02876086,0.02513434,4,2
KLRK1,0.065848425,0.025125096,4,0
PTPMT1,0.023450328,0.025114939,4,2
FBXO33,0.057789188,0.025084162,4,1
ZNF609,0.08847032,0.025051478,4,2
ANAPC10,-0.019227525,0.025022434,4,2
TIMM10B,0.00041007748,0.024989597,4,2
NARF,-0.01114254,0.02498664,4,2
TP53,0.06542946,0.024954986,4,1
COPS4,0.036561776,0.024940293,4,2
AZIN1,-0.025514083,0.024886511,4,2
YTHDC1,0.08426682,0.024862781,4,2
COPS8,0.09663982,0.024843782,4,1
INTS7,0.057373207,0.024839452,4,1
UHRF1BP1,0.08476722,0.024712535,4,1
PNPLA2,0.09273905,0.024609476,4,2
DEAF1,0.047366615,0.02459263,4,1
ZBTB17,0.037237536,0.024383508,4,2
CEPT1,0.035205353,0.024371363,4,2
RCHY1,0.05400942,0.024342444,4,1
TMEM126B,0.06966377,0.024262838,4,2
CHMP4B,-0.031124124,0.024251789,4,2
LRSAM1,-0.036841765,0.024224285,4,2
THADA,0.040872935,0.024194498,4,1
EPG5,0.10839703,0.02413069,4,1
SLC16A10,0.03305322,0.024068058,4,2
FTO,0.05410421,0.02395906,4,0
BTG3,-0.0049785427,0.023906287,4,2
TTC9C,0.06062075,0.023880154,4,2
ABCC5,0.09472608,0.023838341,4,2
MAP7,0.059880372,0.023818538,4,0
UFSP2,0.04667153,0.023811981,4,0
AGPAT3,-0.0014762977,0.023796737,4,2
NUP153,0.01804687,0.02379445,4,2
TBC1D17,0.1414018,0.023752753,4,1
FAM160B2,0.029466942,0.02367619,4,1
NEK9,0.052307833,0.023642503,4,2
DENND6B,0.15229239,0.023621574,4,2
PHF6,0.021613898,0.023604698,4,2
UBXN6,0.055885047,0.023590252,4,2
CEP78,0.08738526,0.023558129,4,0
CHMP1A,0.110293664,0.023542464,4,1
Z93930.2,0.002002205,0.023520483,4,1
ERCC1,-0.029382264,0.02351448,4,2
CBX4,0.0015542954,0.023514038,4,1
CAPRIN2,0.22296984,0.023450967,4,0
TSPYL2,0.002642418,0.023443121,4,2
PIP5K1A,0.03054515,0.02344199,4,2
PRPS1,0.0034373503,0.02338728,4,2
CRACR2B,0.084731035,0.023359017,4,1
C19orf53,0.18190849,0.023320079,4,2
MRPS18A,0.016761167,0.023306232,4,2
MED22,0.03743176,0.023261186,4,0
SUPT20H,0.0789073,0.023252517,4,1
ZNF768,0.060029436,0.023218337,4,1
TSPO,0.06859329,0.023114651,4,2
COL8A2,0.0154230585,0.02305467,4,1
ZNF720,0.075823605,0.022996476,4,1
SLC7A7,-0.0032510136,0.022990994,4,2
TBC1D4,0.08576297,0.022918332,4,0
THBS3,0.061784998,0.022903204,4,1
FZD1,-0.012656982,0.02288281,4,2
ARSB,-0.011644919,0.02286403,4,2
SP2,0.028428664,0.02284973,4,1
SLC46A3,0.072235726,0.0228411,4,1
DCLRE1B,0.10851947,0.022822436,4,1
SIRT1,-0.01056623,0.022795117,4,2
MAGEF1,0.12042264,0.02278342,4,1
SPATA20,0.06519134,0.02278224,4,1
SLC4A2,0.009573025,0.022774309,4,2
ZNF397,0.07645827,0.022732241,4,1
UTP6,0.04523951,0.02270975,4,0
GSTM2,0.10718259,0.02270525,4,1
WDR45B,0.014318724,0.022700869,4,1
SLC30A7,0.08548403,0.022612523,4,2
ARFGEF1,0.075188614,0.022593237,4,1
RSKR,0.064216815,0.022580776,4,1
ACSL1,0.05599429,0.022480577,4,2
SNX30,0.047683705,0.022371717,4,2
RPA3,0.08820298,0.022359371,4,2
HPGDS,0.073899545,0.022333272,4,2
API5,0.082490206,0.022327328,4,1
ANKRD33B,0.05087408,0.02232647,4,0
CDKN1A,0.034885373,0.02231656,4,2
SPTBN5,0.07300935,0.022305395,4,0
GORASP2,-0.060036134,0.02229403,4,2
SUPT7L,0.055092994,0.022281341,4,2
KDM4C,0.008903167,0.02226476,4,1
PCGF3,0.08283803,0.022246309,4,2
CSF2RB,0.10425154,0.022242747,4,1
AAAS,0.11858764,0.022242118,4,0
PTPRE,-0.036319416,0.022218019,4,2
LRRK2,0.010142863,0.022122256,4,2
ZFYVE27,0.03292642,0.022098301,4,1
TCEAL9,0.040121395,0.022077518,4,2
ULK3,0.08494737,0.022064064,4,1
MFF,0.016241858,0.022056773,4,2
GATAD2B,0.04788175,0.021975275,4,1
LINC02256,0.016119013,0.021967456,4,2
ATXN3,-0.0019077795,0.021937422,4,2
ZNF268,0.0923068,0.02193503,4,1
RINL,0.04243615,0.021920977,4,1
KANK2,0.045242593,0.021917354,4,1
SLC25A12,0.13069993,0.021903919,4,0
LRRK1,0.07500374,0.021903805,4,2
FAM13B,0.0970895,0.021878295,4,2
VPS54,0.034212362,0.021835368,4,0
PTGS2,0.069096714,0.021823626,4,1
DEGS1,-0.055925697,0.021818295,4,2
BSDC1,-0.041936826,0.021794252,4,2
MCM3AP,0.102196716,0.021775149,4,2
EFL1,0.07654348,0.021772759,4,1
CUEDC1,0.008825024,0.021770477,4,2
C9orf78,0.06973958,0.02171442,4,2
OGFOD1,0.02198687,0.02168318,4,1
TP53I3,-0.019314298,0.021659203,4,2
UBLCP1,0.054321866,0.021627951,4,2
IL1RN,0.10154391,0.021542817,4,0
ALG11,0.1313924,0.02153209,4,0
RPL7L1,0.07790959,0.021500677,4,2
STYXL1,0.05196032,0.021450602,4,0
RPS10,-0.088840984,0.021415621,4,2
NIPBL-DT,0.004006654,0.021378089,4,2
MED14,0.058005482,0.021357318,4,0
CPED1,0.064561896,0.021342915,4,2
SLC25A4,0.046427514,0.021298978,4,0
PDHX,0.06932426,0.021284299,4,1
NOP2,0.11425608,0.021282993,4,2
AC018529.2,0.06682216,0.021195926,4,0
NUAK1,0.1194847,0.021183124,4,0
HEXD,0.049017042,0.02102822,4,0
GRK3,0.22028776,0.021026663,4,1
DTL,-0.0020784412,0.020991083,4,1
STAT5A,-0.06912515,0.020927645,4,2
C20orf27,0.11815859,0.020840831,4,2
BNC2,0.107095055,0.020823725,4,0
OFD1,0.070524186,0.02076716,4,1
ANKHD1,-0.012106369,0.020762071,4,2
OSBPL2,0.13303891,0.02068771,4,0
NEU1,0.018313127,0.020673584,4,2
HACE1,0.038681936,0.020652218,4,0
NELFCD,0.040385876,0.02060331,4,1
NDOR1,0.0739856,0.020500986,4,1
EEA1,0.035941716,0.020476207,4,1
RTL8B,0.05637646,0.020441525,4,0
STAG1,0.019819384,0.020417772,4,1
NFKBIL1,0.021661341,0.020357016,4,2
TOLLIP,0.023679942,0.020335801,4,2
RARRES2,0.052892104,0.020330314,4,0
EXOC6,0.16029617,0.02032869,4,2
LZIC,0.06205244,0.020309426,4,1
NFYB,0.055686474,0.020285763,4,1
EIF2B5,0.04699081,0.020278923,4,1
IFI35,0.16202219,0.020236045,4,2
NFS1,0.04298712,0.020184044,4,1
MYZAP,0.061934832,0.020157365,4,0
PHF23,-0.03412362,0.020086182,4,1
MTREX,0.039064687,0.0200827,4,1
SH3BGRL,-0.06637171,0.020080954,4,2
STK16,0.108707465,0.020069513,4,2
IFT52,0.06473365,0.020042166,4,1
LRFN4,0.050471943,0.020028215,4,2
CD163L1,0.056109846,0.019988772,4,0
BRMS1,0.08705471,0.019951418,4,1
GNL1,0.006470479,0.019931927,4,1
PGM1,0.008096772,0.019929511,4,2
TFAP4,0.029662497,0.019918181,4,2
RAB30-DT,0.01893439,0.019873247,4,2
PKD1,0.09727752,0.019844426,4,1
GLI4,0.023085942,0.019828722,4,1
GTF2IRD2B,0.034211446,0.019821312,4,2
UBAC1,0.063871466,0.019796759,4,1
BTN2A2,0.038362257,0.019767864,4,1
ZCCHC9,-0.009995043,0.019767258,4,2
NF2,-0.04224202,0.019726519,4,2
KLF16,0.048072975,0.019720035,4,1
PPP3R1,0.030102195,0.019709915,4,2
SSBP3,0.011600107,0.019677974,4,2
GMFB,-0.013256897,0.019654945,4,2
UBE2Q1,0.07443449,0.019637587,4,1
BAHD1,0.04908892,0.019623743,4,0
SIRT2,-0.00972638,0.019561917,4,2
SUGP2,0.025083812,0.019558586,4,1
ZNF274,0.066217706,0.019548217,4,0
CYB561D1,0.03296039,0.019536272,4,0
FAM135A,0.0062435963,0.01944039,4,2
SPECC1,0.076359026,0.019390203,4,0
SMARCB1,0.033306975,0.019361533,4,2
LINC00891,0.039294187,0.01926525,4,1
CPSF6,0.08881482,0.019223936,4,2
UBE2D2,-0.04200338,0.019183531,4,2
PACS1,0.07215362,0.019182928,4,2
ABHD2,0.1609519,0.01913064,4,2
ASH2L,0.038838804,0.019130407,4,0
B4GALT1,-0.032459516,0.019027188,4,2
TRAPPC6B,-0.04708462,0.01901086,4,2
TRAPPC1,-0.2373773,0.018974423,4,2
TMEM50A,0.076155424,0.018939942,4,2
UVSSA,-0.01148354,0.01893124,4,1
CLEC11A,0.016282856,0.018914577,4,2
POLI,0.06387661,0.01889755,4,1
MCM3,0.07451019,0.018863067,4,2
LPGAT1,0.06651267,0.018825635,4,2
RPS14,-0.14377154,0.018725038,4,2
DAPK3,0.10646963,0.01869443,4,1
INPP5B,0.05570789,0.018686505,4,1
DPY19L1,0.042954013,0.018655222,4,1
RRM2B,0.041517872,0.018631026,4,0
INO80B,0.051356714,0.01860318,4,0
EXOC5,-0.013669435,0.018601317,4,1
MAP3K6,0.022666052,0.01846943,4,1
PIK3IP1,-0.014121741,0.018448513,4,2
MFSD8,0.07438242,0.018419087,4,1
TCAF1,0.045718297,0.018414836,4,1
CRNKL1,0.08427337,0.018363409,4,1
HSD3B7,0.034451254,0.018288124,4,0
MED21,0.045224052,0.018273886,4,1
ADAT2,0.04663618,0.018224094,4,1
PXN,0.06716662,0.018195018,4,2
ANGEL1,0.03227292,0.018110652,4,1
WDR7,-0.043058157,0.018085632,4,2
RNF8,0.011873757,0.017966062,4,1
TRIM44,0.0004659643,0.017946497,4,2
RPRD1A,0.0482063,0.017930204,4,1
EGR3,0.07133687,0.017905194,4,0
BCL3,0.04607275,0.017844237,4,2
NR2C2AP,0.03912856,0.01780566,4,0
RILP,1.2807548e-05,0.017647132,4,2
ODF3B,-0.004418897,0.01763922,4,2
NUP98,0.039668266,0.017638877,4,1
GNG2,-0.047864545,0.01761853,4,1
RBM42,-0.006874077,0.01760377,4,2
MEGF6,0.0055751554,0.017546952,4,1
DGCR6L,0.095552795,0.017536335,4,2
STAC3,0.023399463,0.0175194,4,2
STX8,0.05236192,0.01743894,4,2
HOXB7,0.060727015,0.017430749,4,2
TBL3,0.031624094,0.017421529,4,2
PAFAH1B3,0.012340635,0.01741175,4,2
MED23,0.052583467,0.017376965,4,1
RPN1,0.110292494,0.017344415,4,2
SPATA2L,0.04711862,0.017216802,4,0
FIZ1,0.050533876,0.017200071,4,2
ALG6,0.068904884,0.017196221,4,0
AL137186.2,0.03710459,0.017159116,4,0
RALB,0.010999438,0.01715666,4,2
HMGXB4,0.01634545,0.017151337,4,2
TRAPPC9,0.110205,0.017105242,4,1
PAK4,0.072143115,0.017087732,4,0
AC024060.2,0.06851214,0.017034935,4,0
MSL2,0.018721098,0.016937003,4,1
PELI1,0.15267582,0.016902655,4,1
USE1,-0.06697232,0.016884018,4,2
PCID2,0.042236954,0.016864238,4,1
GYS1,0.121375024,0.016831327,4,1
MAP3K10,0.072703615,0.016683973,4,1
NUDCD3,0.07446507,0.01663214,4,1
STARD13,0.029499112,0.01662255,4,1
SH3D21,0.047880266,0.016503472,4,2
TP53BP1,-0.0003793699,0.016490567,4,2
TMED7,0.015362647,0.016404577,4,1
C2orf76,0.039238412,0.01638248,4,2
UBR1,0.049453586,0.01630632,4,0
C2CD2,0.013026168,0.01627334,4,1
TNFAIP1,0.05551972,0.01623499,4,0
FAM200B,0.014462014,0.016204908,4,2
SUMF2,-0.010230725,0.016194738,4,2
RAB33B,0.032135654,0.016190264,4,0
KPTN,0.07576,0.016173404,4,0
ZNF574,0.05042387,0.016172169,4,0
MCUB,-0.022259034,0.016171604,4,2
THOP1,0.024679197,0.016141152,4,1
FLT3LG,0.036098465,0.016078012,4,0
UBE3B,0.041133378,0.016021132,4,1
COG3,0.11890339,0.015917996,4,2
MIA3,-0.011459182,0.015902095,4,2
NACC1,-0.013568615,0.015890844,4,2
CFAP36,0.052258078,0.01588158,4,0
UNK,0.029386709,0.015855707,4,0
PGS1,0.058067456,0.015813267,4,2
LINC01003,0.043325823,0.015775418,4,0
TXLNB,0.058745485,0.015764978,4,0
BX255925.3,0.1989408,0.015738692,4,0
GRPEL1,-0.028933952,0.015731841,4,2
OAT,0.06519005,0.01567322,4,1
AMBRA1,0.07297328,0.015591025,4,0
KLF9,0.06877788,0.015573651,4,1
AKR1B1,0.07365518,0.015564978,4,2
LINC00539,0.05834408,0.01551235,4,0
CYBRD1,0.061766833,0.0154451225,4,1
AURKAIP1,0.10347556,0.015422106,4,2
SPRYD3,0.04546417,0.015391152,4,1
FADS1,0.03840537,0.015295625,4,1
SLC66A3,0.026661545,0.015288271,4,2
GPR180,-0.031507056,0.015262486,4,2
DBR1,0.07755255,0.015260495,4,1
MAPK6,0.039990805,0.015230082,4,1
PFAS,0.07340416,0.015225109,4,0
RHBDD2,0.08266687,0.015209787,4,1
PRELID3A,0.007461438,0.01517331,4,1
MOB2,0.05192241,0.015169641,4,0
DDB1,0.041434113,0.015147671,4,2
SLC20A2,0.060793858,0.015147248,4,1
SNAP47,0.047296125,0.015132634,4,0
BRD7,0.011710532,0.015019186,4,1
LINC01578,0.13583514,0.0149899125,4,1
TNRC6C-AS1,0.06442684,0.01498136,4,1
N6AMT1,0.03411376,0.014917945,4,1
UBE2Q2,0.06152752,0.014900535,4,1
TBC1D20,0.010658895,0.014839467,4,2
MAEA,0.04092769,0.014807068,4,2
DHX33,0.09480112,0.014638076,4,1
P2RY1,0.08887268,0.014586763,4,0
LIG1,0.024514874,0.01457208,4,1
ALDH4A1,0.06446022,0.014502972,4,0
PXK,-0.010742221,0.014450099,4,1
STK3,0.07147427,0.014406297,4,0
DTNA,-0.0059475056,0.014235072,4,1
VAV3,0.08043176,0.0141669195,4,1
CNNM4,0.14322989,0.014158258,4,1
HDGFL2,0.017051186,0.014121588,4,1
MINDY1,0.033524014,0.0140939215,4,0
IST1,0.029381216,0.014067292,4,2
ZNF263,0.06674556,0.013972949,4,1
ACSS1,0.027718902,0.013647836,4,2
CTBP2,0.08711243,0.013609897,4,2
STIMATE,0.022227505,0.013588898,4,1
COMMD8,-0.015666917,0.013553582,4,1
PWWP3A,0.08344496,0.013539389,4,1
PIGW,0.09066256,0.013530983,4,0
PCNX4,0.029085195,0.013517868,4,2
ZMIZ1,0.10687784,0.013461232,4,2
GOLPH3,0.07739285,0.0133937895,4,1
MFHAS1,0.06033893,0.013368905,4,1
BMPR1A,0.05504248,0.013355531,4,0
RHOC,-0.08928155,0.013344973,4,2
SLX4IP,0.026407396,0.013322132,4,0
WDR33,0.08053718,0.013296317,4,2
MPST,0.020371944,0.013281817,4,2
SNTB2,-0.007036172,0.013241766,4,1
LUC7L2,0.0279314,0.013227373,4,2
LASP1,0.064740635,0.013179041,4,2
CDC25B,0.042535935,0.013157111,4,1
SLC35B4,0.013080567,0.013145566,4,2
PRR22,0.07549105,0.013132796,4,0
TRIM25,0.029693907,0.013077844,4,2
PUDP,-0.004513681,0.0130751915,4,2
OPHN1,0.08076301,0.013063598,4,1
ZBTB14,0.059617873,0.0130465375,4,1
PACRGL,0.03662388,0.01301312,4,0
FN3K,-0.0013470054,0.013009533,4,1
TOP2A,0.05627857,0.012999318,4,1
CRLS1,0.048572287,0.012965873,4,0
ATAT1,0.06931153,0.012928941,4,0
TOP3B,0.064128496,0.012908591,4,0
NBPF19,0.0717432,0.012821361,4,1
FBN2,0.07943996,0.012755525,4,0
HSDL1,-0.0017595552,0.012580423,4,2
CPQ,0.058061827,0.012478791,4,1
KLHL17,-0.04383034,0.012386006,4,1
TAMM41,0.08276704,0.012354892,4,1
PPP2R2A,-0.046950642,0.012342803,4,2
MRPS25,-0.013011652,0.0123402625,4,2
RFX1,0.069019645,0.012276847,4,1
POFUT1,0.1024819,0.012206884,4,0
SLFN12,0.05689582,0.012161378,4,1
CCNG2,-0.0033212106,0.01208926,4,1
PLA2G4B,0.03409369,0.012038775,4,0
WDR44,0.012234843,0.012029696,4,0
UBXN2A,0.08133869,0.012005901,4,0
PUM2,0.079071395,0.011981845,4,2
BRD4,0.014729287,0.011981636,4,2
ZNF26,0.048804298,0.011950457,4,1
OSBP,-0.012170772,0.011927392,4,1
CRHBP,0.039776012,0.011906024,4,0
UGDH,0.06782207,0.011816548,4,0
ZBED3,0.058550853,0.011785075,4,1
SWI5,0.05355701,0.011750098,4,1
SUOX,0.036123775,0.011743622,4,1
SERBP1,-0.115017414,0.011738539,4,2
MFSD13A,0.06314708,0.011735691,4,0
ATF4,0.06581328,0.011646748,4,2
AGO3,0.048927177,0.0116347,4,2
VPS13D,0.0286809,0.011607416,4,0
FBXO41,0.07545325,0.0115809515,4,0
CAPZA1,0.010119696,0.011535108,4,2
KATNAL1,0.05596925,0.011451337,4,1
AGAP3,0.044861853,0.011437692,4,2
HES4,0.09371733,0.011420641,4,0
NFX1,0.009827395,0.011345141,4,2
ZNF449,0.07416641,0.011326056,4,1
TRAF6,-0.032036576,0.011270879,4,2
AC006230.1,0.025568455,0.011238852,4,1
KIFAP3,0.08823481,0.011201087,4,1
CA11,0.02658167,0.011065915,4,0
LYVE1,0.06895212,0.010976045,4,0
SLC17A5,0.13785471,0.010875694,4,1
PSTPIP2,0.088596195,0.0108277425,4,1
AC026471.1,0.074346505,0.010822489,4,0
METTL22,0.096993,0.010786038,4,1
GOT2,0.038119357,0.010777626,4,1
DCAF12,0.0034659754,0.010722429,4,2
