gene,statistic,Post-NACT,Pre-NACT,Post_minus_Pre
STAB1,mean,0.797008,0.45443365,0.34257433
STAB1,median,0.8503742,0.34040278,0.50997144
SPP1,mean,2.5016813,1.618101,0.8835803
SPP1,median,2.463498,2.0363052,0.42719293
TREM2,mean,1.4088514,1.0676972,0.34115422
TREM2,median,1.3443403,1.2944156,0.04992473
GPNMB,mean,0.55700934,0.6184223,-0.06141299
GPNMB,median,0.5829668,0.53817475,0.044792056
C1QA,mean,2.7152557,2.1188834,0.59637237
C1QA,median,2.6552217,2.1186666,0.53655505
C1QB,mean,2.8068044,2.0142777,0.7925267
C1QB,median,2.867732,1.9462944,0.9214376
C1QC,mean,3.0434723,2.1630805,0.88039184
C1QC,median,3.059529,2.0914006,0.96812844
APOE,mean,2.7908845,2.4390004,0.35188413
APOE,median,2.9568963,2.5711267,0.3857696
APOC1,mean,2.1020424,1.7039739,0.39806855
APOC1,median,2.0736723,1.4460326,0.62763965
MRC1,mean,0.15618783,0.069269456,0.08691838
MRC1,median,0.12042009,0.07323149,0.047188602
CD163,mean,0.93392897,0.6396938,0.29423517
CD163,median,0.96118426,0.5432984,0.41788584
HLA-DRA,mean,4.0190077,4.560837,-0.5418291
HLA-DRA,median,4.1884785,4.5087447,-0.32026625
CD74,mean,5.54721,5.609091,-0.06188059
CD74,median,5.626732,5.6022773,0.024454594
