gene,statistic,Post-NACT,Pre-NACT,Post_minus_Pre
STAB1,mean,0.582785,0.7193802,-0.13659519
STAB1,median,0.53865516,0.78392476,-0.2452696
SPP1,mean,2.4568815,1.9358321,0.5210494
SPP1,median,2.7160711,2.2304497,0.48562145
TREM2,mean,1.4894986,1.1708194,0.3186792
TREM2,median,1.508054,1.2821171,0.22593689
GPNMB,mean,2.5694685,2.3295224,0.23994613
GPNMB,median,2.613316,2.2165902,0.3967259
C1QA,mean,2.4299102,2.998052,-0.5681417
C1QA,median,2.362884,2.9465396,-0.5836556
C1QB,mean,2.7690601,2.9819572,-0.21289706
C1QB,median,2.7013946,2.966045,-0.26465034
C1QC,mean,2.7663844,3.1834629,-0.4170785
C1QC,median,2.716754,3.1699247,-0.45317078
APOE,mean,4.7494283,4.7213063,0.028121948
APOE,median,4.8218565,4.5712185,0.250638
APOC1,mean,4.5301895,3.749196,0.78099346
APOC1,median,4.6787524,3.8362482,0.84250426
MRC1,mean,0.2246036,0.15642095,0.06818265
MRC1,median,0.19118068,0.15753797,0.03364271
CD163,mean,1.0120609,1.3005081,-0.28844726
CD163,median,0.95920444,1.285684,-0.32647955
HLA-DRA,mean,3.5572195,4.130095,-0.5728755
HLA-DRA,median,3.6492257,4.163726,-0.51450014
CD74,mean,4.9776053,5.2072105,-0.2296052
CD74,median,4.995262,5.321577,-0.32631493
