sample,treatment,n_cells,STAB1,SPP1,TREM2,GPNMB,C1QA,C1QB,C1QC,APOE,APOC1,MRC1,CD163,HLA-DRA,CD74
sample1,Pre-NACT,103,0.4573488,1.1851217,0.5402784,2.6421394,2.9465396,2.966045,3.106655,5.1950536,3.9738026,0.028055675,1.017549,4.0163207,4.967286
sample2,Pre-NACT,15,0.78392476,2.2304497,1.2821171,2.1298375,3.124799,2.9309337,3.2738085,4.5712185,3.8362482,0.15753797,1.285684,4.163726,5.332768
sample3,Pre-NACT,240,0.9168672,2.3919253,1.6900626,2.2165902,2.922817,3.0488927,3.1699247,4.3976464,3.4375374,0.2836692,1.5982916,4.210238,5.321577
sample4,Post-NACT,124,0.63490826,2.7940595,1.517668,2.5700378,2.2384431,2.4770198,2.6387622,4.5304165,4.4988046,0.20307642,0.8165905,3.8854482,5.225275
sample5,Post-NACT,778,0.33068958,3.2094018,1.49844,2.6565945,2.34641,2.6686528,2.7242484,5.1132965,4.9952545,0.08873209,0.7082083,3.0449781,4.694621
sample6,Post-NACT,1164,0.4424021,1.1859825,1.6359062,2.6859016,2.7554297,3.1964316,2.9932678,5.284902,4.8587003,0.17928493,1.1018184,3.6803033,5.0627613
sample7,Post-NACT,179,0.92314005,2.6380827,1.3059804,2.3653405,2.3793578,2.7341363,2.7092593,4.069098,3.767999,0.42732093,1.4216262,3.6181483,4.9277635
