sample,treatment,n_cells,STAB1,SPP1,TREM2,GPNMB,C1QA,C1QB,C1QC,APOE,APOC1,MRC1,CD163,HLA-DRA,CD74
sample1,Pre-NACT,8,0.4075697,2.0375502,0.26120728,1.5569065,1.6890488,1.3281207,2.783985,4.178729,3.2472453,0.0,1.0055647,3.5155869,3.3236423
sample2,Pre-NACT,23,1.0718946,3.6685233,1.4537107,1.0694706,1.7870135,1.5105134,2.0974793,3.4062362,2.563395,0.04152258,0.8394084,3.1579165,4.5696416
sample3,Pre-NACT,86,1.2814077,4.031694,1.2491511,1.5061525,2.0890512,1.9608239,2.157998,3.5226274,2.9762223,0.10414709,1.1200217,3.2216747,4.4869614
sample4,Post-NACT,36,0.97283703,3.7490742,1.4636979,1.5535629,2.089024,2.199806,2.5059154,3.7378185,3.457559,0.21280254,0.8844662,3.5570946,5.176414
sample5,Post-NACT,4984,1.388474,3.9175918,1.5112369,1.124903,2.831889,2.7974648,3.100284,4.405279,3.6444247,0.117363036,0.7366904,3.2929091,5.012565
sample6,Post-NACT,484,1.7874708,2.8343465,1.6359938,0.90689665,3.1778994,3.1229372,3.3379025,3.916861,2.9139621,0.2253573,1.3706579,3.650731,5.24185
sample7,Post-NACT,27,1.5829847,3.289481,0.73431677,1.0477936,2.1467283,2.4324772,2.5762832,2.120685,1.9085475,0.4040812,1.2748665,3.2036371,4.630802
