gene,mean_effect,median_effect,n_samples_positive,n_samples_negative
FMNL3,0.36641875,0.16849498,6,0
DNMT1,0.29316,0.1672761,6,0
FHOD1,0.22281961,0.16722202,6,0
PRKDC,0.20374012,0.16633463,6,0
XPO1,0.26093623,0.16593885,6,0
SLC25A24,0.2383718,0.16569206,6,0
HNRNPU,0.2192867,0.1652664,6,0
ABR,0.20917045,0.16515596,6,0
ACTN4,0.2200337,0.1648514,6,0
LMO2,0.15087159,0.16187145,6,0
ADPGK,0.2880194,0.16180444,6,0
MFN2,0.253206,0.15989874,6,0
APPL2,0.28500146,0.15855935,6,0
EFTUD2,0.17154713,0.15760152,6,0
PLAU,0.16394998,0.15710463,6,0
PPP6R2,0.24521084,0.15696001,6,0
USP32,0.2171771,0.15597083,6,0
ARAP1,0.17902768,0.15468736,6,0
FYTTD1,0.12826587,0.15298897,6,0
HK3,0.19777675,0.15292282,6,0
CEP290,0.15845612,0.14941588,6,0
UBL5,0.28052,0.14830714,6,0
CHST15,0.14783402,0.14741457,6,0
EFR3A,0.19302352,0.1458107,6,0
KIAA1109,0.20568316,0.14533749,6,0
GAS7,0.22173835,0.14473526,6,0
LGALS8,0.14927077,0.14371198,6,0
YEATS2,0.28314802,0.14363866,6,0
SMARCE1,0.1500717,0.14289027,6,0
EIF3J,0.16225144,0.14245534,6,0
ITGB5,0.2082543,0.14050496,6,0
CDK19,0.20210223,0.140475,6,0
UBA7,0.19523053,0.13864174,6,0
MPHOSPH9,0.1318145,0.1385257,6,0
RALGDS,0.26763973,0.13644998,6,0
TBXAS1,0.21397567,0.13640264,6,0
GNB2,0.22932322,0.1356027,6,0
GDE1,0.18177164,0.13487902,6,0
STK24,0.1848392,0.13461593,6,0
MBD1,0.13987008,0.13411224,6,0
SEL1L,0.14272748,0.13184036,6,0
ABHD18,0.15486957,0.13059136,6,0
SIRPA,0.2848718,0.13047111,6,0
ZNF106,0.20616639,0.13045129,6,0
RIN2,0.22567028,0.1300477,6,0
NLN,0.22344382,0.1294778,6,0
RBMS1,0.13799815,0.1290534,6,0
GANAB,0.14506987,0.12752776,6,0
UGGT1,0.19217336,0.12721749,6,0
SRSF10,0.1714483,0.1270159,6,0
AKT1,0.13936718,0.1267167,6,0
IRGQ,0.1288745,0.12664054,6,0
MYO1C,0.2675542,0.12594587,6,0
MBD4,0.17111032,0.12484437,6,0
CNST,0.1319377,0.12425259,6,0
HEBP2,0.098423205,0.124155164,6,0
XRN2,0.15289395,0.12271643,6,0
METAP2,0.18742867,0.12170534,6,0
HP1BP3,0.2146262,0.12144999,6,0
TCF4,0.17150134,0.12073964,6,0
TRA2B,0.23024714,0.12036288,6,0
CCDC88A,0.15936638,0.11918315,6,0
NRAS,0.2751234,0.11732182,6,0
PARVG,0.18077652,0.116448745,6,0
BEX3,0.1783294,0.11519873,6,0
MOB1A,0.29584756,0.11400668,6,0
MTDH,0.15076578,0.11359924,6,0
PITRM1,0.11488853,0.112476,6,0
KCNQ3,0.16523719,0.11200203,6,0
SH3GL1,0.21112883,0.11162291,6,0
MRFAP1,0.18778062,0.11079036,6,0
C1orf54,0.11916783,0.108520225,6,0
WDR13,0.1184513,0.106626876,6,0
PTBP1,0.15013157,0.106381126,6,0
NHLRC3,0.14683922,0.10462457,6,0
GOLIM4,0.08629134,0.10385565,6,0
CDK9,0.17374438,0.10138267,6,0
IER3,0.24315189,0.09948957,6,0
AP2A1,0.12715235,0.0980191,6,0
COA8,0.17767441,0.095548056,6,0
VEGFB,0.184056,0.095544845,6,0
SPTAN1,0.19985227,0.094774574,6,0
MED16,0.16114108,0.09282456,6,0
ACIN1,0.18807836,0.09188214,6,0
NRBP2,0.116983145,0.09121444,6,0
SLC25A46,0.087434225,0.09007721,6,0
TBC1D10B,0.11294061,0.08935676,6,0
UBA6,0.18429916,0.08866085,6,0
SDCCAG8,0.15955941,0.08498298,6,0
CERS6,0.0960863,0.08494596,6,0
ISG20L2,0.17944235,0.08437702,6,0
ERLEC1,0.1756882,0.084146604,6,0
KAT6A,0.14175963,0.08352125,6,0
VEZF1,0.07503364,0.08135481,6,0
NDUFB7,0.20299868,0.0801442,6,0
KDM2B,0.119030505,0.07993344,6,0
PARP4,0.15462226,0.07888069,6,0
PLA2G4C,0.11897227,0.077990994,6,0
RBM10,0.117991805,0.075332046,6,0
RERE,0.18391544,0.07386959,6,0
YIF1B,0.12591593,0.07298446,6,0
BHLHE40,0.08974624,0.0713519,6,0
NOP9,0.11707287,0.0711125,6,0
GIGYF2,0.15723221,0.070997216,6,0
UEVLD,0.10333234,0.066614114,6,0
PLEKHA2,0.09685311,0.0641757,6,0
MON2,0.20944573,0.06358096,6,0
CLCN7,0.17669894,0.05990409,6,0
TAOK1,0.27466455,0.04857567,6,0
IKBKG,0.10938687,0.047013015,6,0
XPO7,0.07681867,0.043230075,6,0
