gene,sample,mean_high,mean_undetected,effect_high_minus_undetected
MIR1302-2HG,sample2,0.0,0.0,0.0
FAM138A,sample2,0.0,0.0,0.0
OR4F5,sample2,0.0,0.0,0.0
AL627309.1,sample2,0.0,0.0,0.0
AL627309.3,sample2,0.0,0.0,0.0
AL627309.2,sample2,0.0,0.0,0.0
AL627309.5,sample2,0.0,0.0,0.0
AL627309.4,sample2,0.0,0.0,0.0
AP006222.2,sample2,0.0,0.0,0.0
AL732372.1,sample2,0.0,0.0,0.0
OR4F29,sample2,0.0,0.0,0.0
AC114498.1,sample2,0.0,0.0,0.0
OR4F16,sample2,0.0,0.0,0.0
AL669831.2,sample2,0.0,0.0,0.0
LINC01409,sample2,0.0,0.0,0.0
FAM87B,sample2,0.0,0.0,0.0
LINC01128,sample2,0.0,0.0,0.0
LINC00115,sample2,0.38892052,0.0,0.38892052
FAM41C,sample2,0.0,0.0,0.0
AL645608.6,sample2,0.0,0.0,0.0
AL645608.2,sample2,0.0,0.0,0.0
AL645608.4,sample2,0.0,0.0,0.0
LINC02593,sample2,0.0,0.0,0.0
SAMD11,sample2,0.0,0.0,0.0
NOC2L,sample2,0.0,0.14379895,-0.14379895
KLHL17,sample2,0.0,0.4529144,-0.4529144
PLEKHN1,sample2,0.0,0.0,0.0
PERM1,sample2,0.0,0.0,0.0
AL645608.7,sample2,0.2180711,0.0,0.2180711
HES4,sample2,0.33790556,0.0,0.33790556
ISG15,sample2,2.2901635,1.2762562,1.0139073
AL645608.1,sample2,0.0,0.0,0.0
AGRN,sample2,0.0,0.0,0.0
AL645608.5,sample2,0.0,0.0,0.0
AL645608.8,sample2,0.0,0.0,0.0
RNF223,sample2,0.0,0.0,0.0
C1orf159,sample2,0.0,0.06748153,-0.06748153
AL390719.3,sample2,0.0,0.0,0.0
LINC01342,sample2,0.0,0.0,0.0
AL390719.2,sample2,0.0,0.0,0.0
TTLL10-AS1,sample2,0.0,0.0,0.0
TTLL10,sample2,0.0,0.0,0.0
TNFRSF18,sample2,0.0,0.0,0.0
TNFRSF4,sample2,0.0,0.0,0.0
SDF4,sample2,0.84574646,0.3131532,0.53259325
B3GALT6,sample2,0.0,0.0,0.0
C1QTNF12,sample2,0.0,0.0,0.0
AL162741.1,sample2,0.0,0.0,0.0
UBE2J2,sample2,0.0,0.0,0.0
LINC01786,sample2,0.0,0.0,0.0
SCNN1D,sample2,0.0,0.0,0.0
ACAP3,sample2,0.0,0.29520378,-0.29520378
PUSL1,sample2,0.0,0.06748153,-0.06748153
INTS11,sample2,0.0,0.3192881,-0.3192881
AL139287.1,sample2,0.0,0.0,0.0
CPTP,sample2,0.0,0.0,0.0
TAS1R3,sample2,0.0,0.0,0.0
DVL1,sample2,0.0,0.0,0.0
MXRA8,sample2,0.0,0.0,0.0
AURKAIP1,sample2,0.0,0.5916721,-0.5916721
CCNL2,sample2,0.96558094,0.08927692,0.87630403
MRPL20-AS1,sample2,0.0,0.14379895,-0.14379895
MRPL20,sample2,0.7947315,0.44010878,0.35462272
AL391244.2,sample2,0.0,0.0,0.0
ANKRD65,sample2,0.0,0.0,0.0
AL391244.1,sample2,0.0,0.0,0.0
TMEM88B,sample2,0.0,0.0,0.0
LINC01770,sample2,0.0,0.0,0.0
VWA1,sample2,0.0,0.0,0.0
ATAD3C,sample2,0.0,0.0,0.0
ATAD3B,sample2,0.0,0.07620859,-0.07620859
ATAD3A,sample2,0.0,0.07620859,-0.07620859
TMEM240,sample2,0.0,0.0,0.0
SSU72,sample2,0.33274427,0.9272229,-0.5944786
AL645728.1,sample2,0.0,0.0,0.0
FNDC10,sample2,0.0,0.07620859,-0.07620859
AL691432.4,sample2,0.0,0.0,0.0
AL691432.2,sample2,0.0,0.0,0.0
MIB2,sample2,0.0,0.07620859,-0.07620859
MMP23B,sample2,0.0,0.0,0.0
CDK11B,sample2,0.38892052,0.0,0.38892052
FO704657.1,sample2,0.0,0.0,0.0
SLC35E2B,sample2,0.0,0.0,0.0
CDK11A,sample2,0.62767535,0.0,0.62767535
SLC35E2A,sample2,0.0,0.0,0.0
NADK,sample2,1.158601,0.08927692,1.0693241
GNB1,sample2,0.5714991,0.07620859,0.49529052
AL109917.1,sample2,0.0,0.0,0.0
CALML6,sample2,0.0,0.0,0.0
TMEM52,sample2,0.0,0.0,0.0
CFAP74,sample2,0.0,0.0,0.0
AL391845.2,sample2,0.0,0.0,0.0
GABRD,sample2,0.0,0.0,0.0
AL391845.1,sample2,0.0,0.0,0.0
PRKCZ,sample2,0.0,0.0,0.0
AL590822.2,sample2,0.0,0.0,0.0
PRKCZ-AS1,sample2,0.0,0.0,0.0
FAAP20,sample2,0.23875484,0.44010878,-0.20135394
AL590822.1,sample2,0.0,0.0,0.0
SKI,sample2,0.23875484,0.0,0.23875484
AL590822.3,sample2,0.0,0.0,0.0
MORN1,sample2,0.0,0.0,0.0
AL589739.1,sample2,0.0,0.0,0.0
AL513477.2,sample2,0.0,0.0,0.0
RER1,sample2,0.0,1.0031171,-1.0031171
PEX10,sample2,0.0,0.23001118,-0.23001118
PLCH2,sample2,0.0,0.0,0.0
AL139246.1,sample2,0.0,0.0,0.0
AL139246.4,sample2,0.0,0.0,0.0
PANK4,sample2,0.0,0.06748153,-0.06748153
HES5,sample2,0.0,0.0,0.0
AL139246.5,sample2,0.0,0.0,0.0
TNFRSF14-AS1,sample2,0.0,0.0,0.0
TNFRSF14,sample2,0.2180711,0.07620859,0.14186251
AL139246.3,sample2,0.0,0.0,0.0
PRXL2B,sample2,0.2180711,0.46084958,-0.24277848
MMEL1,sample2,0.0,0.0,0.0
AL831784.1,sample2,0.0,0.0,0.0
TTC34,sample2,0.0,0.0,0.0
AC242022.2,sample2,0.0,0.0,0.0
AC242022.1,sample2,0.0,0.0,0.0
AL592464.2,sample2,0.0,0.0,0.0
AL592464.3,sample2,0.0,0.0,0.0
AL592464.1,sample2,0.0,0.0,0.0
AL589702.1,sample2,0.0,0.0,0.0
ACTRT2,sample2,0.0,0.0,0.0
PRDM16-DT,sample2,0.0,0.0,0.0
PRDM16,sample2,0.0,0.0,0.0
AL008733.1,sample2,0.0,0.0,0.0
AL590438.1,sample2,0.0,0.0,0.0
AL354743.2,sample2,0.0,0.0,0.0
AL354743.1,sample2,0.0,0.0,0.0
ARHGEF16,sample2,0.0,0.0,0.0
AL512413.1,sample2,0.0,0.0,0.0
MEGF6,sample2,0.0,0.0,0.0
AL513320.1,sample2,0.0,0.0,0.0
TPRG1L,sample2,0.0,0.0,0.0
WRAP73,sample2,0.0,0.4471445,-0.4471445
TP73,sample2,0.0,0.0,0.0
AL136528.1,sample2,0.0,0.0,0.0
AL136528.2,sample2,0.0,0.0,0.0
CCDC27,sample2,0.0,0.0,0.0
SMIM1,sample2,0.0,0.0,0.0
LRRC47,sample2,0.0,0.06748153,-0.06748153
AL365330.1,sample2,0.0,0.0,0.0
CEP104,sample2,0.2180711,0.1654855,0.0525856
DFFB,sample2,0.0,0.08927692,-0.08927692
C1orf174,sample2,0.0,0.07620859,-0.07620859
LINC01134,sample2,0.0,0.0,0.0
LINC01346,sample2,0.0,0.0,0.0
LINC01345,sample2,0.0,0.0,0.0
LINC02780,sample2,0.0,0.0,0.0
AL805961.1,sample2,0.0,0.0,0.0
LINC01777,sample2,0.0,0.0,0.0
AL355602.1,sample2,0.0,0.0,0.0
Z98747.1,sample2,0.0,0.0,0.0
LINC01646,sample2,0.0,0.0,0.0
AJAP1,sample2,0.0,0.0,0.0
Z98886.1,sample2,0.0,0.0,0.0
BX005132.1,sample2,0.0,0.0,0.0
LINC02781,sample2,0.0,0.0,0.0
LINC02782,sample2,0.0,0.0,0.0
AL139823.1,sample2,0.0,0.0,0.0
Z98259.3,sample2,0.0,0.0,0.0
Z98259.2,sample2,0.0,0.0,0.0
Z98259.1,sample2,0.0,0.0,0.0
AL365255.1,sample2,0.0,0.0,0.0
NPHP4,sample2,0.0,0.0,0.0
KCNAB2,sample2,0.84574646,0.7404034,0.105343044
CHD5,sample2,0.0,0.0,0.0
RPL22,sample2,1.4808863,2.730246,-1.2493597
AL031847.1,sample2,0.0,0.0,0.0
RNF207,sample2,0.0,0.0,0.0
ICMT,sample2,0.33274427,0.06748153,0.26526272
LINC00337,sample2,0.0,0.0,0.0
HES3,sample2,0.0,0.0,0.0
GPR153,sample2,0.0,0.0,0.0
ACOT7,sample2,0.0,0.19312128,-0.19312128
AL031848.2,sample2,0.0,0.0,0.0
HES2,sample2,0.0,0.0,0.0
ESPN,sample2,0.0,0.0,0.0
AL031848.1,sample2,0.0,0.0,0.0
TNFRSF25,sample2,0.0,0.0,0.0
PLEKHG5,sample2,0.0,0.0,0.0
NOL9,sample2,0.0,0.1654855,-0.1654855
TAS1R1,sample2,0.0,0.0,0.0
ZBTB48,sample2,0.23875484,0.0,0.23875484
KLHL21,sample2,0.2180711,0.0,0.2180711
PHF13,sample2,0.0,0.15771061,-0.15771061
THAP3,sample2,0.23875484,0.0,0.23875484
DNAJC11,sample2,0.5343284,0.15675846,0.37756994
LINC01672,sample2,0.0,0.0,0.0
AL591163.1,sample2,0.0,0.0,0.0
CAMTA1-DT,sample2,0.0,0.0,0.0
CAMTA1,sample2,0.45682594,0.54906344,-0.0922375
AL512330.1,sample2,0.0,0.0,0.0
CAMTA1-IT1,sample2,0.0,0.0,0.0
Z97987.1,sample2,0.0,0.0,0.0
AL365194.1,sample2,0.0,0.0,0.0
AL359881.3,sample2,0.0,0.0,0.0
AL359881.2,sample2,0.0,0.0,0.0
AL359881.1,sample2,0.0,0.0,0.0
VAMP3,sample2,0.0,0.34704757,-0.34704757
Z98884.2,sample2,0.0,0.0,0.0
PER3,sample2,0.0,0.0,0.0
Z98884.1,sample2,0.0,0.0,0.0
UTS2,sample2,0.0,0.0,0.0
TNFRSF9,sample2,0.0,0.0,0.0
PARK7,sample2,0.45682594,1.1024003,-0.64557433
AL034417.4,sample2,0.0,0.0,0.0
AL034417.3,sample2,0.0,0.0,0.0
ERRFI1,sample2,0.2180711,0.0,0.2180711
AL034417.2,sample2,0.0,0.0,0.0
LINC01714,sample2,0.0,0.0,0.0
AL358876.2,sample2,0.0,0.0,0.0
SLC45A1,sample2,0.0,0.0,0.0
RERE,sample2,0.5559766,0.06748153,0.4884951
RERE-AS1,sample2,0.0,0.0,0.0
AL357552.2,sample2,0.0,0.0,0.0
ENO1,sample2,1.0343565,1.7679687,-0.7336122
ENO1-AS1,sample2,0.0,0.0,0.0
CA6,sample2,0.0,0.0,0.0
SLC2A7,sample2,0.0,0.0,0.0
SLC2A5,sample2,0.2180711,0.12563975,0.09243135
GPR157,sample2,0.0,0.0,0.0
MIR34AHG,sample2,0.0,0.0,0.0
LNCTAM34A,sample2,0.0,0.0,0.0
H6PD,sample2,0.0,0.06748153,-0.06748153
SPSB1,sample2,0.0,0.0,0.0
BX323043.1,sample2,0.0,0.0,0.0
LINC02606,sample2,0.0,0.0,0.0
AL928921.1,sample2,0.0,0.0,0.0
SLC25A33,sample2,0.0,0.0,0.0
TMEM201,sample2,0.0,0.06748153,-0.06748153
PIK3CD,sample2,0.0,0.0,0.0
PIK3CD-AS1,sample2,0.0,0.0,0.0
PIK3CD-AS2,sample2,0.0,0.0,0.0
CLSTN1,sample2,0.33790556,0.06748153,0.270424
CTNNBIP1,sample2,0.0,0.39549667,-0.39549667
AL357140.1,sample2,0.0,0.0,0.0
AL357140.4,sample2,0.0,0.0,0.0
LZIC,sample2,0.0,0.0,0.0
AL357140.2,sample2,0.0,0.0,0.0
NMNAT1,sample2,0.0,0.0,0.0
AL603962.1,sample2,0.0,0.0,0.0
RBP7,sample2,0.0,0.0,0.0
UBE4B,sample2,0.0,0.0,0.0
KIF1B,sample2,0.7216648,0.06748153,0.65418327
AL139424.3,sample2,0.0,0.0,0.0
AL139424.2,sample2,0.0,0.0,0.0
PGD,sample2,0.0,0.23296705,-0.23296705
AL139424.1,sample2,0.0,0.0,0.0
CENPS,sample2,0.0,0.06748153,-0.06748153
CORT,sample2,0.0,0.0,0.0
DFFA,sample2,0.0,0.08927692,-0.08927692
AL354956.1,sample2,0.0,0.0,0.0
PEX14,sample2,0.0,0.07620859,-0.07620859
AL139423.2,sample2,0.0,0.0,0.0
CASZ1,sample2,0.0,0.0,0.0
AL139423.1,sample2,0.0,0.0,0.0
C1orf127,sample2,0.0,0.0,0.0
TARDBP,sample2,0.2180711,0.29520378,-0.07713267
MASP2,sample2,0.0,0.0,0.0
AL109811.2,sample2,0.0,0.0,0.0
SRM,sample2,0.0,1.1356869,-1.1356869
EXOSC10,sample2,0.35861883,0.0,0.35861883
AL109811.1,sample2,0.0,0.0,0.0
EXOSC10-AS1,sample2,0.0,0.0,0.0
MTOR,sample2,0.2180711,0.14369012,0.07438098
MTOR-AS1,sample2,0.0,0.0,0.0
ANGPTL7,sample2,0.0,0.0,0.0
UBIAD1,sample2,0.38892052,0.0,0.38892052
AL031291.1,sample2,0.0,0.0,0.0
DISP3,sample2,0.0,0.0,0.0
AL590989.1,sample2,0.0,0.0,0.0
LINC01647,sample2,0.0,0.0,0.0
AL031731.1,sample2,0.0,0.0,0.0
FBXO2,sample2,0.0,0.0,0.0
FBXO44,sample2,0.0,0.07620859,-0.07620859
FBXO6,sample2,0.0,0.07620859,-0.07620859
MAD2L2,sample2,0.0,0.37966296,-0.37966296
DRAXIN,sample2,0.0,0.0,0.0
AGTRAP,sample2,0.0,0.07620859,-0.07620859
C1orf167,sample2,0.0,0.0,0.0
AL953897.1,sample2,0.0,0.0,0.0
MTHFR,sample2,0.0,0.24698752,-0.24698752
CLCN6,sample2,0.38892052,0.14369012,0.24523039
NPPA,sample2,0.0,0.0,0.0
NPPB,sample2,0.0,0.0,0.0
AL021155.5,sample2,0.0,0.0,0.0
KIAA2013,sample2,0.2180711,0.24698752,-0.028916419
PLOD1,sample2,0.2180711,0.07620859,0.14186251
AL096840.2,sample2,0.2180711,0.0,0.2180711
MFN2,sample2,0.62767535,0.14379895,0.4838764
MIIP,sample2,0.0,0.0,0.0
TNFRSF8,sample2,0.0,0.0,0.0
AL357835.1,sample2,0.0,0.0,0.0
TNFRSF1B,sample2,1.3360754,0.3192881,1.0167873
VPS13D,sample2,0.0,0.0,0.0
LINC02766,sample2,0.0,0.0,0.0
DHRS3,sample2,0.45682594,0.51908004,-0.0622541
AC254633.1,sample2,0.0,0.0,0.0
AADACL4,sample2,0.0,0.0,0.0
AADACL3,sample2,0.0,0.0,0.0
C1orf158,sample2,0.0,0.0,0.0
PRAMEF12,sample2,0.0,0.0,0.0
PRAMEF1,sample2,0.0,0.0,0.0
LINC01784,sample2,0.0,0.0,0.0
PRAMEF11,sample2,0.0,0.0,0.0
HNRNPCL1,sample2,0.0,0.0,0.0
PRAMEF2,sample2,0.0,0.0,0.0
PRAMEF4,sample2,0.0,0.0,0.0
PRAMEF10,sample2,0.0,0.0,0.0
PRAMEF7,sample2,0.0,0.0,0.0
PRAMEF6,sample2,0.0,0.0,0.0
PRAMEF27,sample2,0.0,0.0,0.0
HNRNPCL3,sample2,0.0,0.0,0.0
PRAMEF25,sample2,0.0,0.0,0.0
HNRNPCL2,sample2,0.0,0.0,0.0
AC245056.1,sample2,0.0,0.0,0.0
PRAMEF26,sample2,0.0,0.0,0.0
HNRNPCL4,sample2,0.0,0.0,0.0
PRAMEF9,sample2,0.0,0.0,0.0
PRAMEF13,sample2,0.0,0.0,0.0
PRAMEF18,sample2,0.0,0.0,0.0
PRAMEF5,sample2,0.0,0.0,0.0
PRAMEF8,sample2,0.0,0.0,0.0
PRAMEF33,sample2,0.0,0.0,0.0
PRAMEF15,sample2,0.0,0.0,0.0
AC243961.1,sample2,0.0,0.0,0.0
PRAMEF14,sample2,0.0,0.0,0.0
PRAMEF19,sample2,0.0,0.0,0.0
PRAMEF17,sample2,0.0,0.0,0.0
PRAMEF20,sample2,0.0,0.0,0.0
LRRC38,sample2,0.0,0.0,0.0
AL354712.1,sample2,0.0,0.0,0.0
PDPN,sample2,0.0,0.06748153,-0.06748153
AL359771.1,sample2,0.0,0.0,0.0
PRDM2,sample2,0.23875484,0.15675846,0.08199638
KAZN,sample2,0.0,0.0,0.0
AL357873.1,sample2,0.0,0.0,0.0
KAZN-AS1,sample2,0.0,0.0,0.0
AL031293.1,sample2,0.0,0.0,0.0
TMEM51-AS1,sample2,0.38892052,0.0,0.38892052
TMEM51,sample2,0.33274427,0.23296705,0.09977722
C1orf195,sample2,0.0,0.0,0.0
FHAD1,sample2,0.0,0.0,0.0
AL031283.2,sample2,0.0,0.0,0.0
AL031283.3,sample2,0.0,0.0,0.0
AL031283.1,sample2,0.0,0.0,0.0
EFHD2,sample2,0.43929905,0.5467745,-0.10747546
CTRC,sample2,0.0,0.0,0.0
CELA2A,sample2,0.0,0.0,0.0
CELA2B,sample2,0.0,0.0,0.0
CASP9,sample2,0.0,0.0,0.0
DNAJC16,sample2,0.0,0.0,0.0
AL121992.3,sample2,0.0,0.0,0.0
AGMAT,sample2,0.0,0.0,0.0
AL121992.1,sample2,0.0,0.0,0.0
DDI2,sample2,0.60699165,0.0,0.60699165
RSC1A1,sample2,0.0,0.0,0.0
AL121992.2,sample2,0.0,0.0,0.0
PLEKHM2,sample2,0.47060862,0.07620859,0.39440003
AL450998.3,sample2,0.0,0.0,0.0
SLC25A34,sample2,0.0,0.0,0.0
SLC25A34-AS1,sample2,0.0,0.0,0.0
TMEM82,sample2,0.0,0.0,0.0
FBLIM1,sample2,0.0,0.0,0.0
UQCRHL,sample2,0.0,0.0,0.0
AL450998.2,sample2,0.0,0.0,0.0
SPEN,sample2,0.2180711,0.24698752,-0.028916419
ZBTB17,sample2,0.2180711,0.29520378,-0.07713267
SRARP,sample2,0.0,0.0,0.0
AL355994.3,sample2,0.0,0.0,0.0
HSPB7,sample2,0.0,0.0,0.0
CLCNKA,sample2,0.0,0.0,0.0
CLCNKB,sample2,0.0,0.0,0.0
FAM131C,sample2,0.0,0.0,0.0
EPHA2,sample2,0.0,0.29520378,-0.29520378
AL451042.2,sample2,0.0,0.0,0.0
AL451042.1,sample2,0.0,0.0,0.0
ARHGEF19-AS1,sample2,0.0,0.0,0.0
ARHGEF19,sample2,0.0,0.0,0.0
AL109627.1,sample2,0.0,0.0,0.0
CPLANE2,sample2,0.0,0.0,0.0
FBXO42,sample2,0.9448972,0.0,0.9448972
SZRD1,sample2,0.2180711,0.12563975,0.09243135
SPATA21,sample2,0.0,0.0,0.0
NECAP2,sample2,0.5714991,0.15771061,0.4137885
LINC01772,sample2,0.0,0.0,0.0
AL137802.2,sample2,0.0,0.0,0.0
AL137802.1,sample2,0.0,0.0,0.0
LINC01783,sample2,0.0,0.0,0.0
NBPF1,sample2,0.5343284,0.0,0.5343284
AL137798.1,sample2,0.0,0.0,0.0
AL137798.2,sample2,0.0,0.0,0.0
AL021920.1,sample2,0.0,0.0,0.0
AL021920.3,sample2,0.0,0.0,0.0
CROCC,sample2,0.0,0.0,0.0
BX284668.1,sample2,0.0,0.0,0.0
BX284668.2,sample2,0.0,0.0,0.0
BX284668.5,sample2,0.0,0.15675846,-0.15675846
BX284668.6,sample2,0.0,0.0,0.0
MFAP2,sample2,0.0,0.0,0.0
AL049569.2,sample2,0.0,0.0,0.0
AL049569.1,sample2,0.0,0.0,0.0
ATP13A2,sample2,0.43929905,0.0,0.43929905
SDHB,sample2,0.0,0.32435733,-0.32435733
PADI2,sample2,0.0,0.0,0.0
LINC02783,sample2,0.0,0.0,0.0
AL590644.1,sample2,0.0,0.0,0.0
PADI1,sample2,0.0,0.0,0.0
PADI3,sample2,0.0,0.0,0.0
PADI4,sample2,0.0,0.0,0.0
PADI6,sample2,0.0,0.0,0.0
RCC2-AS1,sample2,0.0,0.0,0.0
RCC2,sample2,0.7947315,0.37141237,0.42331913
ARHGEF10L,sample2,0.9656105,0.0,0.9656105
LINC02810,sample2,0.0,0.0,0.0
ACTL8,sample2,0.0,0.0,0.0
AL357509.1,sample2,0.0,0.0,0.0
LINC01654,sample2,0.0,0.0,0.0
IGSF21,sample2,0.45682594,0.0,0.45682594
IGSF21-AS1,sample2,0.0,0.0,0.0
AL591896.1,sample2,0.0,0.0,0.0
KLHDC7A,sample2,0.0,0.0,0.0
PAX7,sample2,0.0,0.0,0.0
TAS1R2,sample2,0.0,0.0,0.0
ALDH4A1,sample2,0.2180711,0.0,0.2180711
IFFO2,sample2,0.0,0.0,0.0
AL137127.1,sample2,0.38892052,0.0,0.38892052
UBR4,sample2,0.9448972,0.2339192,0.710978
EMC1-AS1,sample2,0.0,0.0,0.0
EMC1,sample2,0.0,0.15771061,-0.15771061
MRTO4,sample2,0.0,0.1654855,-0.1654855
AKR7A3,sample2,0.0,0.0,0.0
AKR7A2,sample2,0.0,0.06748153,-0.06748153
SLC66A1,sample2,0.23875484,0.1654855,0.07326934
CAPZB,sample2,1.8362726,1.6772662,0.15900636
MICOS10,sample2,0.45682594,1.4423335,-0.9855075
AL031727.2,sample2,0.0,0.0,0.0
NBL1,sample2,0.9656105,0.08927692,0.8763336
HTR6,sample2,0.0,0.0,0.0
TMCO4,sample2,0.2180711,0.0,0.2180711
RNF186,sample2,0.0,0.0,0.0
AL391883.1,sample2,0.0,0.0,0.0
OTUD3,sample2,0.0,0.0,0.0
PLA2G2E,sample2,0.0,0.0,0.0
PLA2G2A,sample2,0.0,0.0,0.0
PLA2G5,sample2,0.0,0.0,0.0
PLA2G2D,sample2,0.0,0.0,0.0
PLA2G2F,sample2,0.0,0.0,0.0
Z98257.1,sample2,0.0,0.0,0.0
PLA2G2C,sample2,0.0,0.0,0.0
UBXN10-AS1,sample2,0.0,0.0,0.0
UBXN10,sample2,0.0,0.0,0.0
LINC01757,sample2,0.0,0.0,0.0
Z98257.2,sample2,0.0,0.0,0.0
VWA5B1,sample2,0.0,0.0,0.0
AL020998.1,sample2,0.0,0.0,0.0
LINC01141,sample2,0.0,0.0,0.0
AL139254.1,sample2,0.0,0.0,0.0
AL139254.2,sample2,0.0,0.0,0.0
AL139254.3,sample2,0.0,0.0,0.0
CAMK2N1,sample2,0.0,0.0,0.0
MUL1,sample2,0.0,0.0,0.0
FAM43B,sample2,0.0,0.0,0.0
CDA,sample2,0.0,0.0,0.0
PINK1,sample2,0.0,0.0,0.0
PINK1-AS,sample2,0.0,0.0,0.0
DDOST,sample2,0.2180711,0.52029496,-0.30222386
KIF17,sample2,0.0,0.0,0.0
SH2D5,sample2,0.0,0.0,0.0
AL663074.1,sample2,0.0,0.0,0.0
HP1BP3,sample2,0.8670727,0.113128364,0.75394434
EIF4G3,sample2,0.23875484,0.08927692,0.14947793
AL031005.2,sample2,0.0,0.0,0.0
ECE1,sample2,0.0,0.0,0.0
AL031005.1,sample2,0.0,0.0,0.0
AL031728.1,sample2,0.0,0.0,0.0
AL592309.2,sample2,0.0,0.0,0.0
NBPF3,sample2,0.0,0.0,0.0
ALPL,sample2,0.0,0.0,0.0
LINC02596,sample2,0.0,0.0,0.0
RAP1GAP,sample2,0.0,0.0,0.0
USP48,sample2,0.0,0.45587155,-0.45587155
LDLRAD2,sample2,0.0,0.0,0.0
HSPG2,sample2,0.0,0.0,0.0
CELA3B,sample2,0.0,0.0,0.0
CELA3A,sample2,0.0,0.0,0.0
LINC01635,sample2,0.0,0.0,0.0
LINC00339,sample2,0.0,0.06748153,-0.06748153
CDC42,sample2,0.9145955,1.209873,-0.29527748
CDC42-AS1,sample2,0.0,0.0,0.0
CDC42-IT1,sample2,0.0,0.0,0.0
WNT4,sample2,0.0,0.0,0.0
AL445253.1,sample2,0.0,0.0,0.0
ZBTB40,sample2,0.0,0.0,0.0
ZBTB40-IT1,sample2,0.0,0.0,0.0
EPHA8,sample2,0.0,0.0,0.0
C1QA,sample2,2.4957654,1.1356869,1.3600786
C1QC,sample2,2.4985936,1.4827986,1.015795
C1QB,sample2,2.080718,1.4548107,0.6259073
EPHB2,sample2,0.5766604,0.0,0.5766604
AL512444.1,sample2,0.0,0.0,0.0
LACTBL1,sample2,0.0,0.0,0.0
TEX46,sample2,0.0,0.0,0.0
KDM1A,sample2,0.0,0.07620859,-0.07620859
AL031428.1,sample2,0.0,0.0,0.0
LUZP1,sample2,0.2180711,0.0,0.2180711
HTR1D,sample2,0.0,0.0,0.0
LINC01355,sample2,0.0,0.0,0.0
AL109936.6,sample2,0.0,0.0,0.0
HNRNPR,sample2,0.84574646,0.52240974,0.32333672
ZNF436,sample2,0.2180711,0.0,0.2180711
ZNF436-AS1,sample2,0.0,0.0,0.0
AL109936.2,sample2,0.0,0.0,0.0
TCEA3,sample2,0.0,0.0,0.0
ASAP3,sample2,0.0,0.0,0.0
E2F2,sample2,0.0,0.0,0.0
AL021154.1,sample2,0.0,0.0,0.0
ID3,sample2,0.2180711,0.0,0.2180711
AL450043.1,sample2,0.0,0.0,0.0
MDS2,sample2,0.0,0.0,0.0
RPL11,sample2,1.7158276,3.4194756,-1.703648
ELOA-AS1,sample2,0.0,0.08927692,-0.08927692
ELOA,sample2,0.0,0.0,0.0
PITHD1,sample2,0.35861883,0.24698752,0.111631304
LYPLA2,sample2,0.2180711,0.08927692,0.1287942
GALE,sample2,0.0,0.06748153,-0.06748153
HMGCL,sample2,0.0,0.0,0.0
FUCA1,sample2,0.0,0.06748153,-0.06748153
CNR2,sample2,0.0,0.0,0.0
AL590609.3,sample2,0.0,0.0,0.0
PNRC2,sample2,0.38892052,0.2339192,0.15500131
SRSF10,sample2,1.036727,0.93179405,0.104932904
AL591178.1,sample2,0.0,0.0,0.0
MYOM3,sample2,0.0,0.0,0.0
AL591178.2,sample2,0.0,0.0,0.0
IL22RA1,sample2,0.0,0.0,0.0
IFNLR1,sample2,0.0,0.07620859,-0.07620859
LINC02800,sample2,0.0,0.0,0.0
AL138902.1,sample2,0.0,0.0,0.0
GRHL3,sample2,0.0,0.0,0.0
STPG1,sample2,0.0,0.0,0.0
NIPAL3,sample2,0.0,0.0,0.0
RCAN3AS,sample2,0.0,0.0,0.0
RCAN3,sample2,0.0,0.0,0.0
NCMAP-DT,sample2,0.0,0.0,0.0
NCMAP,sample2,0.0,0.0,0.0
SRRM1,sample2,0.2180711,1.2951912,-1.0771201
AL445648.1,sample2,0.0,0.0,0.0
CLIC4,sample2,0.62767535,0.3601159,0.26755947
RUNX3,sample2,0.5714991,0.36268532,0.20881379
AL445471.1,sample2,0.0,0.0,0.0
AL445471.2,sample2,0.0,0.0,0.0
LINC02793,sample2,0.0,0.0,0.0
AL050344.1,sample2,0.0,0.0,0.0
AL031432.1,sample2,0.0,0.0,0.0
SYF2,sample2,0.33790556,0.30537832,0.032527238
AL031432.4,sample2,0.0,0.0,0.0
AL031432.5,sample2,0.0,0.0,0.0
RSRP1,sample2,0.4110617,0.57012993,-0.15906823
AL031432.3,sample2,0.0,0.0,0.0
RHD,sample2,0.0,0.0,0.0
TMEM50A,sample2,0.7947315,0.7079832,0.0867483
RHCE,sample2,0.0,0.0,0.0
MACO1,sample2,0.0,0.0,0.0
LDLRAP1,sample2,0.0,0.0,0.0
AL606491.1,sample2,0.0,0.0,0.0
MAN1C1,sample2,0.23875484,0.0,0.23875484
AL031280.1,sample2,0.0,0.0,0.0
SELENON,sample2,0.0,0.14369012,-0.14369012
AL020996.1,sample2,0.0,0.0,0.0
MTFR1L,sample2,0.0,0.0,0.0
AL020996.3,sample2,0.0,0.0,0.0
AUNIP,sample2,0.0,0.0,0.0
AL033528.2,sample2,0.0,0.0,0.0
PAQR7,sample2,0.0,0.0,0.0
STMN1,sample2,0.2180711,0.41209003,-0.19401893
PAFAH2,sample2,0.0,0.0,0.0
EXTL1,sample2,0.0,0.0,0.0
SLC30A2,sample2,0.0,0.0,0.0
AL391650.2,sample2,0.0,0.0,0.0
